,SMILES
119,c1sc(c2c1C(=O)SC2=O)C=C
120,c1sc(c2c1cc(C)cc2)C=C
121,c1[nH]c(=O)c2c1c(=O)[nH]c2
122,c1c2nsnc2c(c2c1nc(CC)c(CC)n2)C=C
123,C1=Cc2cc3=CC(=Cc3cc2=C1)C=C
124,c1cc2c(s1)c1c(cc2)c2c(cc1)cc(s2)C=C
125,N1c2cscc2N(C2=C1c1c3c(ccc1)cccc23)C=C
126,c1sc(c2c1[nH]c(C#N)c2)
127,c1sc2c(c1)C(=S)c1c2oc(c1)C=C
128,c1sc2c(c1)C(=S)c1c2oc(c1)
129,c1sc(c(c1C)C)C=C
130,C1C(=O)O[C@@H]2[C@H]1CC[C@@H]1[C@H]2OC(=O)C1
131,c1sc(c2c1nc1c3sccc3c3ccsc3c1n2)
132,c1c(F)c(F)c(c2c1nsn2)
133,c(cc1)c2cC(C)cc2c1
134,c(s1)c2c(=O)n(CC)c(=O)c2c1
135,N1C(=O)C(c2c1cc(cc2)C)C1C(=O)N(c2c1ccc(C)c2)C=C
136,c1sc(c(c1)OC)
137,c1csc2c1c(CC)c1c(c2CC)scc1
138,c(s1)c2NCOc2c1
139,c1occ(N(=O)=O)c1N
140,c1oc(c(c1C)C)C=C
141,c1sc(c2c1c(C=O)ccc2)
142,c1cnc(c2c1nccn2)C=C
143,C1=C(c2c3c(cccc13)ccc2)
144,c1[nH]cnc1
145,c1sc(c2c1C(=O)c1ccc(CC)cc1C2=O)
146,c1sc(c2c1CCC[C@H]2O)C=C
147,c1c2nc(C)c(C)nc2c(s1)
148,c1cc2c(s1)c1c(C2)ccc2c1c1c(C2)cc(s1)C=C
149,c1cc(cc2c1ccc1c2cccc1)C=C
150,c1sc2c(c3ccoc3cc2c1)C=C
151,c1c2c(cccc2)c2c(c1)c1c(c3c(cc1)cccc3)cc2C=C
152,c1cc2c(cc1)c1c(C2(CC)CC)cc2c(c1)C(CC)(CC)c1c2ccc(c1)
153,c1sc(c2c1sc(=S)s2)C=C
154,c1cc(c2c1[nH]cnc2)C=C
155,c1c(C(F)(F)F)sc(OC)c1
156,c1c(C)sc(C)c1
157,c1sc(c(c1)C(=O)C)C=C
158,c1sc(c2c1[nH]c(N(=O)=O)c2)C=C
159,c1c2c(c3c(cccc3)n2CC)c(c2c1c1c(n2CC)cccc1)C=C
160,c1c2c(ncs2)c(c2c1ncs2)C=C
161,c1ccc(c2c1nn(CC)n2)C=C
162,c1sc(c(c1)C#N)
163,C1=C2C(C(=O)O1)=C(OC2=O)C=C
164,c1csc2c1cc1c(ccs1)c2C=C
165,c1c2nccnc2c(s1)
166,c1cc2c(s1)c1c(c(=O)n(c2=O)CC)cc(s1)C=C
167,c1scc(N(=O)=O)c1N
168,c1sc2nc(sc2c1)
169,c1c(OC)c(cc(c1)OC)
170,c1cc(C)cc(c1C)C=C
171,c(s1)cc(c(=C(CN)(CN))2)c1c(s3)c2cc3C=C
172,c1sc(c2c1cc(S)cc2)
173,c1c(F)c(F)c(c2c1nsn2)C=C
174,C1=C(CC)C(CC)=C(S1(=O)=O)
175,c1sc(c2c1[C@H](C#N)CC[C@H]2OC)C=C
176,c1oc(c(c1OC)C#N)
177,c1scc2c1c1c(s2)cc(s1)C=C
178,c1c2c(=O)N(c(=O)c2cc2c1c(=O)[nH]c2=O)
179,c1sc(c2c1cc(C)s2)C=C
180,c1sc(c(n1)C(=O)OC)
181,c1c(C(=O)C)scc1
182,c1sc(c2c1C[C@H](C(F)(F)F)CC2)
183,c1sc(c(c1OC)C#N)C=C
184,c1sc(c2c1CC[C@@H](C=O)C2)
185,c1sc(c2c1OCCCC2)
186,c1sc(c2c1cc(OC)cc2)
187,C1=C(Cc2c(C1)nsn2)
188,c1sc(c2c1c(C(=O)O)ccc2O)
189,c1sccc1OC=C
