gen,min_score,med_score,max_score,spearman,conv_counter
1,452.640107,688.68921,1069.062147,0,0
2,494.938395,808.556278,1130.245408,0.9999999999999999,1
3,507.866688,830.82983,1130.245408,-0.17575757575757575,0
4,615.204877,849.46173,1130.245408,0.16363636363636364,0
5,615.204877,924.59784,1192.722077,-0.309090909090909,0
6,728.768422,1026.148086,1192.722077,-0.1515151515151515,0
7,782.694663,1047.76713,1306.783501,0.34545454545454546,0
8,724.454873,1062.8023,1342.387447,0.01818181818181818,0
9,787.770128,1069.062147,1342.387447,0.6969696969696969,0
10,595.185547,1095.242411,1342.387447,0.17575757575757575,0
11,569.414053,1103.551078,1342.387447,0.33333333333333326,0
12,447.355466,1106.015942,1342.387447,0.7454545454545454,0
13,735.808409,1124.362844,1380.083718,0.5878787878787878,0
14,759.545261,1139.870405,1380.083718,0.006060606060606061,0
15,538.003104,1141.472781,1416.334068,0.2121212121212121,0
16,662.219635,1139.870405,1416.334068,0.8060606060606059,1
17,642.175033,1141.573573,1416.334068,0.22424242424242422,0
18,441.413161,1156.993039,1416.334068,0.7939393939393938,0
19,558.474821,1197.749567,1586.803533,0.9999999999999999,1
20,478.220902,1223.388972,1586.803533,0.9636363636363635,2
21,759.545261,1271.304553,1586.803533,0.9999999999999999,3
22,759.545261,1327.408808,1743.461109,0.8909090909090909,4
23,614.718388,1333.185478,1743.461109,0.8424242424242423,5
24,571.023287,1342.387447,1743.461109,0.8424242424242423,6
25,571.023287,1342.387447,1743.461109,0.9999999999999999,7
26,496.592006,1344.073961,1743.461109,0.5636363636363636,0
27,669.459418,1380.083718,1743.461109,0.8060606060606059,1
28,631.843329,1342.387447,1743.461109,0.8060606060606059,2
29,674.534738,1336.779033,1743.461109,0.9999999999999999,3
30,512.010229,1375.201499,1743.461109,0.2121212121212121,0
31,508.577968,1380.083718,1743.461109,0.7212121212121211,0
32,829.920741,1398.808196,1767.574437,0.9999999999999999,1
33,818.034534,1416.334068,1767.574437,0.9515151515151514,2
34,835.895092,1421.214248,1767.574437,0.5515151515151515,0
35,957.15611,1421.214248,1767.574437,0.5636363636363636,0
