,Run Label,Champion,Coverage,Speedup
polar,A,1.0,87,54.71475409836066
polar,B,1.0,77,56.28330522765599
polar,C,1.0,82,58.28172293364377
polar,D,1.0,92,42.99184199227136
polar,E,1.0,75,68.6278272789582
opt_bg,A,4.0,7,38.96031128404669
opt_bg,B,41.0,8,55.16694214876033
opt_bg,C,1.0,47,33.23199468967806
opt_bg,D,1.0,26,48.605825242718446
opt_bg,E,1.0,41,34.586528497409326
solv_eng,A,1.0,54,47.05263157894737
solv_eng,B,1.0,43,52.75447839831401
solv_eng,C,1.0,37,63.81644359464627
solv_eng,D,2.0,30,65.61467889908256
solv_eng,E,1.0,38,70.36401967673929
