run,conv_gen,champion,coverage,speedup
opt_bg_A,731,1.0,61,16.220314271828933
opt_bg_B,10000,1.0,42,12.559959859508279
opt_bg_C,606,1.0,39,17.702970297029704
opt_bg_D,10000,1.0,55,11.615777262180975
opt_bg_E,549,1.0,52,20.400977995110026
polar_A,505,1.0,95,22.495618962031003
polar_B,560,1.0,95,21.195596951735816
polar_C,495,1.0,94,23.24773624332482
polar_D,434,1.0,86,24.18550724637681
polar_E,498,1.0,92,23.065653075328264
solv_eng_A,755,1.0,78,17.183456324008922
solv_eng_B,441,1.0,60,24.814869888475837
solv_eng_C,339,1.0,53,29.7911335911931
solv_eng_D,787,1.0,65,16.582974494865848
solv_eng_E,873,1.0,68,15.007194244604317
