,Run Label,Champion,Coverage,Speedup
polar,A,1.0,91,30.18631293337353
polar,B,2.0,45,46.87640449438202
polar,C,1.0,79,40.76872964169381
polar,D,1.0,69,38.144
polar,E,2.0,37,39.498224852071004
opt_bg,A,4.0,4,72.76744186046511
opt_bg,B,41.0,7,87.44803493449781
opt_bg,C,4.0,7,36.988548208348725
opt_bg,D,1.0,22,52.15
opt_bg,E,9.0,5,79.8468899521531
solv_eng,A,92.0,1,102.80082135523614
solv_eng,B,187.0,0,63.57333333333333
solv_eng,C,1110.0,0,50.44231738035265
solv_eng,D,554.0,0,69.72701949860725
solv_eng,E,32.0,2,65.83037475345168
