run,conv_gen,champion,coverage,speedup
opt_bg_A,121,1.0,15,65.2299674267101
opt_bg_B,83,7.0,8,93.92870544090056
opt_bg_C,107,1.0,12,75.0584707646177
opt_bg_D,105,41.0,2,72.60913705583756
opt_bg_E,75,4.0,19,103.22474226804124
polar_A,83,1.0,43,92.28387096774193
polar_B,59,4.0,14,124.38260869565218
polar_C,66,1.0,40,114.95752009184845
polar_D,94,3.0,15,79.8468899521531
polar_E,47,1.0,23,151.70909090909092
solv_eng_A,157,1.0,32,56.346651660101294
solv_eng_B,46,2.0,7,155.47826086956522
solv_eng_C,139,1.0,26,59.70661896243291
solv_eng_D,94,2.0,19,84.56756756756756
solv_eng_E,81,30.0,8,94.81818181818181
