,Run Label,Champion,Coverage,Speedup
polar,A,1.0,67,24.138862102217935
polar,B,1.0,91,12.545796266132063
polar,C,1.0,97,9.239457414413582
polar,D,1.0,85,13.854711498547115
polar,E,1.0,95,13.373580873514092
opt_bg,A,11.0,10,25.380988593155895
opt_bg,B,74.0,6,25.26570779712339
opt_bg,C,1.0,39,15.516503951650396
opt_bg,D,1.0,35,14.126410835214447
opt_bg,E,1.0,37,12.002877007911772
solv_eng,A,3.0,13,31.47689405847218
solv_eng,B,1.0,25,28.788959171937897
solv_eng,C,9.0,20,26.865575529916825
solv_eng,D,2.0,29,17.242638195281558
solv_eng,E,1.0,50,14.444316214656665
