,Run Label,Champion,Coverage,Speedup
polar,A,1.0,93,20.158647070666397
polar,B,1.0,61,40.244372990353696
polar,C,1.0,64,43.99297012302285
polar,D,1.0,65,30.397085610200364
polar,E,1.0,71,20.90791396951347
opt_bg,A,1.0,45,22.97567691601652
opt_bg,B,1.0,35,23.345301935183027
opt_bg,C,1.0,33,30.770743700061463
opt_bg,D,1.0,18,18.093241778099024
opt_bg,E,1.0,52,16.788732394366196
solv_eng,A,3.0,28,20.77775472089645
solv_eng,B,1.0,41,26.800856531049252
solv_eng,C,1.0,27,32.39340019411194
solv_eng,D,2.0,47,19.075633453991237
solv_eng,E,1.0,50,21.044136191677175
