,Run Label,Champion,Coverage,Speedup
polar,A,1.0,32,101.24165824064711
polar,B,1.0,78,45.741434444952034
polar,C,1.0,65,66.39787798408489
polar,D,1.0,42,64.59870967741935
polar,E,1.0,58,78.10296411856474
opt_bg,A,1.0,29,57.5117748420448
opt_bg,B,74.0,3,122.55569155446756
opt_bg,C,1.0,17,69.29273356401384
opt_bg,D,9.0,6,45.84615384615385
opt_bg,E,1.0,18,84.42495784148397
solv_eng,A,16.0,12,80.29510825982358
solv_eng,B,1.0,19,87.9859402460457
solv_eng,C,1.0,28,52.17717561229807
solv_eng,D,2.0,30,46.227146814404435
solv_eng,E,14.0,25,55.258278145695364
