,Run Label,Champion,Coverage,Speedup
polar,A,1.0,61,9.9958071278826
polar,B,1.0,61,6.826753937410514
polar,C,1.0,81,6.795710601330256
polar,D,1.0,59,8.121339930245762
polar,E,1.0,80,2.46851733149253
opt_bg,A,4.0,11,13.044293903074518
opt_bg,B,1.0,46,6.876450793214752
opt_bg,C,1.0,59,3.784699123072271
opt_bg,D,4.0,11,7.12502668469366
opt_bg,E,1.0,25,16.270393240168996
solv_eng,A,1.0,54,4.78623326959847
solv_eng,B,1.0,24,18.62846511627907
solv_eng,C,11.0,16,10.803625377643504
solv_eng,D,6.0,17,10.288532675709002
solv_eng,E,5.0,22,11.30368028900429
