,Run Label,Champion,Coverage,Speedup
polar,A,1.0,76,28.102161100196465
polar,B,1.0,76,29.337239964840318
polar,C,1.0,86,29.606150206978118
polar,D,1.0,82,30.095581605049595
polar,E,1.0,78,32.445884640311085
opt_bg,A,1.0,35,27.27540179787524
opt_bg,B,1.0,17,43.514993481095175
opt_bg,C,1.0,38,28.689971346704873
opt_bg,D,24.0,5,33.5324849296718
opt_bg,E,1.0,28,50.51866801210898
solv_eng,A,1.0,34,31.231441048034934
solv_eng,B,1.0,41,30.08653846153846
solv_eng,C,1.0,42,30.732965009208105
solv_eng,D,1.0,47,29.234452554744525
solv_eng,E,1.0,60,21.672727272727272
