,Run Label,Champion,Coverage,Speedup
polar,A,1.0,99,17.23076923076923
polar,B,1.0,82,28.49402390438247
polar,C,1.0,97,17.64059196617336
polar,D,1.0,100,18.877828054298643
polar,E,1.0,86,33.287234042553195
opt_bg,A,41.0,11,20.158647070666397
opt_bg,B,11.0,27,26.736448598130842
opt_bg,C,4.0,14,24.595431098010316
opt_bg,D,1.0,36,28.015668718522665
opt_bg,E,1.0,41,12.127906976744185
solv_eng,A,1.0,67,19.370864770748693
solv_eng,B,1.0,71,17.257497414684593
solv_eng,C,1.0,48,25.101027826522937
solv_eng,D,1.0,43,30.554775709490386
solv_eng,E,1.0,56,21.583962060788963
