,Run Label,Champion,Coverage,Speedup
polar,A,1.0,76,38.04255319148936
polar,B,1.0,87,22.81859617137648
polar,C,1.0,84,33.9877800407332
polar,D,1.0,92,28.461625923820353
polar,E,1.0,88,31.437362637362636
opt_bg,A,1.0,35,36.1081860800577
opt_bg,B,1.0,60,18.68756998880179
opt_bg,C,14.0,15,16.15488867376573
opt_bg,D,11.0,26,23.988500239578343
opt_bg,E,1.0,36,34.38461538461539
solv_eng,A,5.0,35,39.79650238473768
solv_eng,B,1.0,34,37.81268882175227
solv_eng,C,1.0,47,24.167994207096307
solv_eng,D,1.0,57,23.91401958442799
solv_eng,E,1.0,40,36.47650273224044
