run,conv_gen,champion,coverage,speedup
opt_bg_A,416,1.0,57,23.925448028673834
opt_bg_B,192,1.0,31,43.76223776223776
opt_bg_C,130,1.0,16,62.65832290362954
opt_bg_D,172,21.0,4,48.254457831325304
opt_bg_E,151,1.0,28,57.15068493150685
polar_A,83,1.0,43,92.28387096774193
polar_B,139,1.0,57,57.478760045924226
polar_C,178,1.0,64,49.8397212543554
polar_D,161,1.0,45,49.2029484029484
polar_E,100,1.0,54,78.10296411856474
solv_eng_A,205,1.0,40,45.22493224932249
solv_eng_B,227,1.0,40,40.785336048879834
solv_eng_C,212,1.0,42,42.176916596461666
solv_eng_D,142,2.0,19,61.12820512820513
solv_eng_E,315,1.0,44,30.932344763670066
