,Run Label,Champion,Coverage,Speedup
polar,A,1180.0,0,184.3977900552486
polar,B,243.0,0,169.42131979695432
polar,C,4.0,8,270.61621621621623
polar,D,4.0,9,182.38251366120218
polar,E,6.0,4,133.6822429906542
opt_bg,A,65.0,1,119.48448687350836
opt_bg,B,149.0,0,206.44948453608248
opt_bg,C,14.0,7,149.44477611940297
opt_bg,D,4.0,1,168.56565656565655
opt_bg,E,627.0,0,246.014742014742
solv_eng,A,35.0,1,232.85581395348837
solv_eng,B,6.0,9,167.15859766277129
solv_eng,C,52.0,3,142.22727272727272
solv_eng,D,14.0,3,365.43065693430657
solv_eng,E,5.0,13,115.22209436133487
