,Run Label,Champion,Coverage,Speedup
polar,A,1.0,56,43.64777680906713
polar,B,1.0,86,34.3139136394791
polar,C,1.0,74,37.61382419233659
polar,D,1.0,63,30.85608628659476
polar,E,1.0,57,50.9816700610998
opt_bg,A,1.0,25,35.67082294264339
opt_bg,B,9.0,10,47.79379474940334
opt_bg,C,1.0,41,26.170412963931
opt_bg,D,1.0,50,24.25581395348837
opt_bg,E,4.0,31,44.66012488849242
solv_eng,A,6.0,16,48.23121387283237
solv_eng,B,2.0,21,64.4739214423696
solv_eng,C,1.0,40,28.847018150388937
solv_eng,D,2.0,29,38.77924089852827
solv_eng,E,1.0,48,26.225248821372446
