,Run Label,Champion,Coverage,Speedup
polar,A,1.0,57,45.9935691318328
polar,B,2.0,49,39.451536643026
polar,C,1.0,57,43.28923476005188
polar,D,1.0,51,56.79410096426545
polar,E,1.0,62,45.06210621062106
opt_bg,A,41.0,9,34.09193054136875
opt_bg,B,1.0,37,30.69527896995708
opt_bg,C,41.0,3,39.05148205928237
opt_bg,D,1.0,16,72.55652173913043
opt_bg,E,9.0,10,49.543790202869864
solv_eng,A,3.0,32,28.49402390438247
solv_eng,B,1.0,28,53.09013785790032
solv_eng,C,1.0,48,35.41846480367881
solv_eng,D,2.0,21,65.44313725490196
solv_eng,E,1.0,36,43.38301559792028
