,Run Label,Champion,Coverage,Speedup
polar,A,1.0,83,33.91869918699187
polar,B,1.0,56,50.774847870182555
polar,C,1.0,80,34.754599097535575
polar,D,1.0,93,27.164405860010852
polar,E,1.0,83,38.61473197069032
opt_bg,A,1.0,54,16.763435459568058
opt_bg,B,7.0,29,57.977996525767225
opt_bg,C,4.0,7,36.56975894813733
opt_bg,D,1.0,20,34.05714285714286
opt_bg,E,11.0,23,32.061479346781944
solv_eng,A,1.0,33,28.340786866685537
solv_eng,B,2.0,19,67.65405405405406
solv_eng,C,1.0,40,43.819693654266956
solv_eng,D,1.0,43,41.01925440393281
solv_eng,E,1.0,38,41.49523414836303
