run,conv_gen,champion,coverage,speedup
opt_bg_A,484,1.0,58,21.42692060774663
opt_bg_B,394,1.0,42,24.48117359413203
opt_bg_C,606,1.0,39,17.702970297029704
opt_bg_D,308,9.0,12,30.25929283771532
opt_bg_E,224,1.0,42,41.002457002457
polar_A,366,1.0,84,27.97652975691534
polar_B,343,1.0,89,29.337239964840318
polar_C,249,1.0,74,38.11496003045299
polar_D,433,1.0,86,24.20304568527919
polar_E,264,1.0,85,35.481218993621546
solv_eng_A,589,1.0,71,20.170829975825946
solv_eng_B,302,1.0,51,32.66818923327896
solv_eng_C,339,1.0,53,29.7911335911931
solv_eng_D,561,1.0,54,21.159763313609467
solv_eng_E,472,1.0,55,22.53105310531053
