,Run Label,Champion,Coverage,Speedup
polar,A,1.0,86,41.75479566305254
polar,B,1.0,78,46.44155844155844
polar,C,1.0,73,47.03053076561766
polar,D,1.0,56,59.6
polar,E,4.0,31,53.43009605122732
opt_bg,A,1.0,47,45.306787330316745
opt_bg,B,41.0,9,40.702439024390245
opt_bg,C,9.0,15,68.86382393397524
opt_bg,D,1.0,42,34.899965144649705
opt_bg,E,1.0,29,38.8997668997669
solv_eng,A,403.0,0,34.68236924142709
solv_eng,B,179.0,0,66.57446808510639
solv_eng,C,409.0,0,32.893561103810775
solv_eng,D,554.0,0,57.5448275862069
solv_eng,E,23.0,1,68.34675767918088
