,Run Label,Champion,Coverage,Speedup
polar,A,1.0,37,96.74202898550725
polar,B,1.0,32,91.02545454545455
polar,C,1.0,51,90.77787851314596
polar,D,1.0,46,55.688542825361516
polar,E,1.0,47,86.84128360797918
opt_bg,A,1.0,23,36.50309879693766
opt_bg,B,1.0,27,86.6159169550173
opt_bg,C,1.0,13,77.1402157164869
opt_bg,D,285.0,0,127.06598984771574
opt_bg,E,1.0,25,76.20091324200914
solv_eng,A,1.0,11,78.04208885424785
solv_eng,B,2.0,13,80.94421988682296
solv_eng,C,12.0,27,58.18012783265543
solv_eng,D,2.0,16,71.41797432239657
solv_eng,E,3.0,14,68.81649484536082
