,Run Label,Champion,Coverage,Speedup
polar,A,1.0,94,28.08639551192146
polar,B,1.0,77,39.62326869806094
polar,C,1.0,92,31.716186252771617
polar,D,1.0,90,23.06034085674804
polar,E,1.0,82,30.961038961038962
opt_bg,A,1.0,42,19.281340265742344
opt_bg,B,1.0,53,29.166326827847364
opt_bg,C,1.0,36,21.729166666666668
opt_bg,D,21.0,5,34.06873086083702
opt_bg,E,1.0,27,59.24733727810651
solv_eng,A,5.0,27,42.39119390347163
solv_eng,B,1.0,42,36.66349322592457
solv_eng,C,2.0,19,54.269918699186995
solv_eng,D,1.0,35,43.25183585313175
solv_eng,E,1.0,46,27.010520636633395
