,Run Label,Champion,Coverage,Speedup
polar,A,1.0,71,34.42007562736335
polar,B,1.0,93,16.0693307655272
polar,C,1.0,100,13.639558643236617
polar,D,1.0,99,13.343283582089553
polar,E,1.0,99,12.519129782445612
opt_bg,A,1.0,46,12.953169469598965
opt_bg,B,1.0,52,18.538789113127198
opt_bg,C,1.0,51,13.648854961832061
opt_bg,D,9.0,19,19.22949875168043
opt_bg,E,9.0,36,18.155575702629193
solv_eng,A,1.0,72,14.893351182507809
solv_eng,B,1.0,37,30.6576852418861
solv_eng,C,1.0,64,21.491307147456535
solv_eng,D,1.0,61,23.509744071378258
solv_eng,E,1.0,56,20.073777064955895
