,Run Label,Champion,Coverage,Speedup
polar,A,1.0,84,28.698194325021497
polar,B,1.0,73,42.0
polar,C,1.0,66,45.306787330316745
polar,D,1.0,68,30.461819288104653
polar,E,1.0,79,40.45575757575757
opt_bg,A,1.0,37,37.44502617801047
opt_bg,B,1.0,29,45.14337240757439
opt_bg,C,1.0,18,61.76927822331894
opt_bg,D,21.0,4,45.61640091116173
opt_bg,E,1.0,33,50.74911302584896
solv_eng,A,1.0,42,41.91209711176224
solv_eng,B,1.0,47,34.5984796129924
solv_eng,C,1.0,42,40.01918465227818
solv_eng,D,2.0,20,54.29934924078091
solv_eng,E,1.0,39,37.67042889390519
