,Run Label,Champion,Coverage,Speedup
polar,A,1.0,91,39.70182394924663
polar,B,1.0,91,48.84292682926829
polar,C,1.0,76,78.04208885424785
polar,D,1.0,63,49.29985228951256
polar,E,1.0,86,57.77726485862666
opt_bg,A,1.0,37,55.90619765494137
opt_bg,B,1.0,38,40.93540474243663
opt_bg,C,1.0,22,40.309178743961354
opt_bg,D,74.0,3,50.340874811463046
opt_bg,E,41.0,8,63.172239747634066
solv_eng,A,1.0,45,47.274787535410766
solv_eng,B,3.0,42,46.48467966573816
solv_eng,C,1.0,50,52.588235294117645
solv_eng,D,1.0,54,41.52965574450435
solv_eng,E,1.0,54,50.723404255319146
