,Run Label,Champion,Coverage,Speedup
polar,A,1.0,89,22.638028487451955
polar,B,1.0,60,35.569449378330376
polar,C,4.0,32,66.0910891089109
polar,D,1.0,46,41.96479463537301
polar,E,1.0,71,37.18083921277386
opt_bg,A,1.0,33,33.2540684158087
opt_bg,B,74.0,1,69.67849686847599
opt_bg,C,1.0,19,97.11736178467507
opt_bg,D,1.0,25,40.521246458923514
opt_bg,E,1.0,26,36.2126582278481
solv_eng,A,3.0,28,41.650582362728784
solv_eng,B,1.0,35,44.10925110132158
solv_eng,C,1.0,30,47.68
solv_eng,D,3.0,26,49.348447511089205
solv_eng,E,1.0,31,43.514993481095175
