run,conv_gen,champion,coverage,speedup
opt_bg_A,238,1.0,37,37.44502617801047
opt_bg_B,185,1.0,29,45.14337240757439
opt_bg_C,132,1.0,18,61.76927822331894
opt_bg_D,185,21.0,4,45.61640091116173
opt_bg_E,174,1.0,33,50.74911302584896
polar_A,355,1.0,84,28.698194325021497
polar_B,208,1.0,73,42.0
polar_C,199,1.0,66,45.306787330316745
polar_D,214,1.0,60,39.467087110760744
polar_E,125,1.0,64,64.72398190045249
solv_eng_A,230,1.0,42,41.91209711176224
solv_eng_B,280,1.0,47,34.5984796129924
solv_eng_C,226,1.0,42,40.01918465227818
solv_eng_D,167,2.0,20,54.29934924078091
solv_eng_E,247,1.0,39,37.67042889390519
