,Run Label,Champion,Coverage,Speedup
polar,A,1.0,69,26.349473684210526
polar,B,1.0,64,36.463219227967954
polar,C,1.0,88,18.59732540861813
polar,D,1.0,55,31.857461024498885
polar,E,1.0,97,13.759516284183043
opt_bg,A,1.0,44,22.04976877339793
opt_bg,B,1.0,41,17.514080811614484
opt_bg,C,1.0,36,18.16216216216216
opt_bg,D,1.0,36,14.465183472984686
opt_bg,E,1.0,36,22.201330376940135
solv_eng,A,1.0,34,27.992172211350294
solv_eng,B,1.0,43,26.594422310756972
solv_eng,C,1.0,52,11.613082811412665
solv_eng,D,2.0,25,26.481883099709073
solv_eng,E,1.0,64,11.382062066613619
