,Run Label,Champion,Coverage,Speedup
polar,A,1.0,64,50.69772151898734
polar,B,1.0,52,43.552849064810786
polar,C,1.0,53,39.498224852071004
polar,D,1.0,80,34.42007562736335
polar,E,1.0,74,41.59867054424595
opt_bg,A,1.0,21,33.45405947210157
opt_bg,B,1.0,25,37.02958579881657
opt_bg,C,1.0,36,39.4359984245766
opt_bg,D,32.0,3,61.428220858895706
opt_bg,E,1.0,28,55.136563876651984
solv_eng,A,12.0,32,44.206622516556294
solv_eng,B,1.0,35,41.27287716405606
solv_eng,C,5.0,30,54.744669218152
solv_eng,D,1.0,38,53.48717948717949
solv_eng,E,12.0,28,41.61596009975062
