run,conv_gen,champion,coverage,speedup
opt_bg_A,563,1.0,59,19.285053929121727
opt_bg_B,396,1.0,42,24.409556313993175
opt_bg_C,556,1.0,39,18.849397590361445
opt_bg_D,197,21.0,5,43.345454545454544
opt_bg_E,363,1.0,49,27.875278396436524
polar_A,355,1.0,84,28.698194325021497
polar_B,293,1.0,80,32.583143507972665
polar_C,230,1.0,71,40.35792019347038
polar_D,306,1.0,68,30.461819288104653
polar_E,284,1.0,85,33.82702702702703
solv_eng_A,230,1.0,42,41.91209711176224
solv_eng_B,292,1.0,48,33.55495978552279
solv_eng_C,289,1.0,49,33.42056074766355
solv_eng_D,194,2.0,23,47.90813397129187
solv_eng_E,340,1.0,46,28.92201039861352
