,Run Label,Champion,Coverage,Speedup
polar,A,1.0,88,25.739845758354758
polar,B,1.0,82,36.278260869565216
polar,C,1.0,75,38.26060374474589
polar,D,1.0,71,34.43191196698762
polar,E,1.0,81,35.90103979921118
opt_bg,A,1.0,35,32.51964923676518
opt_bg,B,1.0,25,30.545454545454547
opt_bg,C,1.0,40,24.2616913011873
opt_bg,D,41.0,6,39.89163346613546
opt_bg,E,1.0,42,27.9375
solv_eng,A,1.0,53,19.359628770301626
solv_eng,B,1.0,55,20.747617074181516
solv_eng,C,1.0,27,52.69894736842105
solv_eng,D,2.0,13,56.955631399317404
solv_eng,E,1.0,36,37.09818451278251
