run,conv_gen,champion,coverage,speedup
opt_bg_A,65,1.0,4,115.0896551724138
opt_bg_B,78,17.0,6,99.43197616683217
opt_bg_C,71,10.0,6,107.66451612903226
opt_bg_D,90,41.0,2,82.7504132231405
opt_bg_E,106,1.0,23,76.14296577946769
polar_A,68,1.0,38,109.42950819672132
polar_B,51,4.0,13,141.42372881355934
polar_C,37,1.0,26,192.92485549132948
polar_D,56,6.0,4,129.03092783505156
polar_E,51,1.0,26,140.62921348314606
solv_eng_A,115,1.0,22,72.9795918367347
solv_eng_B,128,1.0,27,63.65416401780038
solv_eng_C,144,1.0,26,57.64421416234888
solv_eng_D,66,2.0,16,113.65266742338252
solv_eng_E,102,16.0,10,77.25925925925925
