,Run Label,Champion,Coverage,Speedup
polar,A,1.0,77,26.197802197802197
polar,B,1.0,82,24.0
polar,C,1.0,69,48.67671366067088
polar,D,1.0,60,31.908221797323137
polar,E,1.0,70,38.48116833205227
opt_bg,A,1.0,43,26.71504802561366
opt_bg,B,1.0,29,39.21974148061105
opt_bg,C,1.0,38,29.606150206978118
opt_bg,D,1.0,34,22.638028487451955
opt_bg,E,1.0,43,25.78624774658769
solv_eng,A,1.0,36,32.424870466321245
solv_eng,B,1.0,54,21.222551928783382
solv_eng,C,3.0,19,41.47804473902237
solv_eng,D,2.0,34,25.063329161451815
solv_eng,E,1.0,51,21.486695278969957
