run,conv_gen,champion,coverage,speedup
opt_bg_A,65,1.0,4,115.0896551724138
opt_bg_B,78,17.0,6,99.43197616683217
opt_bg_C,71,10.0,6,107.66451612903226
opt_bg_D,90,41.0,2,82.7504132231405
opt_bg_E,66,4.0,19,115.75491329479769
polar_A,68,1.0,38,109.42950819672132
polar_B,44,4.0,10,160.46153846153845
polar_C,37,1.0,26,192.92485549132948
polar_D,28,156.0,0,241.2722891566265
polar_E,40,1.0,19,173.5320623916811
solv_eng_A,102,1.0,20,80.87883683360259
solv_eng_B,31,2.0,5,219.09846827133478
solv_eng_C,124,1.0,25,66.13474240422721
solv_eng_D,66,2.0,16,113.65266742338252
solv_eng_E,55,30.0,2,131.92094861660078
