run,conv_gen,champion,coverage,speedup
opt_bg_A,235,1.0,37,37.869894099848715
opt_bg_B,108,4.0,18,74.72238805970149
opt_bg_C,132,1.0,18,61.76927822331894
opt_bg_D,130,41.0,2,60.53688029020556
opt_bg_E,174,1.0,33,50.74911302584896
polar_A,316,1.0,84,31.211970074812967
polar_B,84,1.0,29,90.77787851314596
polar_C,199,1.0,66,45.306787330316745
polar_D,186,1.0,56,44.031662269129285
polar_E,125,1.0,64,64.72398190045249
solv_eng_A,230,1.0,42,41.91209711176224
solv_eng_B,252,1.0,44,37.23614726664187
solv_eng_C,196,1.0,38,45.06210621062106
solv_eng_D,166,2.0,20,54.595419847328245
solv_eng_E,135,16.0,18,61.39055793991416
