run,conv_gen,champion,coverage,speedup
opt_bg_A,731,1.0,61,16.220314271828933
opt_bg_B,446,1.0,42,22.250666666666667
opt_bg_C,606,1.0,39,17.702970297029704
opt_bg_D,547,1.0,19,19.47257876312719
opt_bg_E,321,1.0,47,30.59211732355637
polar_A,405,1.0,88,26.04109232769831
polar_B,445,1.0,93,24.577319587628867
polar_C,249,1.0,74,38.11496003045299
polar_D,434,1.0,86,24.18550724637681
polar_E,498,1.0,92,23.065653075328264
solv_eng_A,589,1.0,71,20.170829975825946
solv_eng_B,441,1.0,60,24.814869888475837
solv_eng_C,339,1.0,53,29.7911335911931
solv_eng_D,582,1.0,55,20.555943338123587
solv_eng_E,472,1.0,55,22.53105310531053
