,Run Label,Champion,Coverage,Speedup
polar,A,1180.0,0,77.61860465116278
polar,B,1.0,44,57.94444444444444
polar,C,1.0,53,60.39083232810615
polar,D,4.0,25,58.76056338028169
polar,E,1.0,55,49.56831683168317
opt_bg,A,1.0,14,88.76595744680851
opt_bg,B,131.0,0,145.53488372093022
opt_bg,C,21.0,1,90.86025408348458
opt_bg,D,4.0,10,86.76603119584055
opt_bg,E,1.0,16,80.03836930455635
solv_eng,A,16.0,12,69.53333333333333
solv_eng,B,2.0,21,78.65514532600157
solv_eng,C,12.0,11,60.75728155339806
solv_eng,D,9.0,21,52.231611893583725
solv_eng,E,1.0,12,57.94444444444444
