,Run Label,Champion,Coverage,Speedup
polar,A,1.0,70,19.629092334836308
polar,B,1.0,87,12.255569155446757
polar,C,1.0,76,16.16010329244674
polar,D,1.0,83,13.20253164556962
polar,E,1.0,94,8.582154795577269
opt_bg,A,1.0,43,20.045645645645646
opt_bg,B,1.0,24,27.061621621621622
opt_bg,C,1.0,42,10.371659415786203
opt_bg,D,41.0,5,25.555895865237368
opt_bg,E,1.0,28,18.817515504604398
solv_eng,A,1.0,27,21.890686488850022
solv_eng,B,1.0,42,20.314059646987218
solv_eng,C,1.0,41,18.195166272942032
solv_eng,D,3.0,23,18.94211123723042
solv_eng,E,3.0,45,11.91432651118515
