,Run Label,Champion,Coverage,Speedup
polar,A,1.0,64,49.964071856287426
polar,B,1.0,77,35.306064880112835
polar,C,1.0,81,35.849624060150376
polar,D,1.0,81,35.355932203389834
polar,E,1.0,80,39.14308053166536
opt_bg,A,1.0,25,27.253130103429505
opt_bg,B,1.0,11,56.56949152542373
opt_bg,C,1.0,14,58.93349028840495
opt_bg,D,1.0,40,25.368127691917913
opt_bg,E,1.0,23,20.219709208400648
solv_eng,A,3.0,34,36.09516943042538
solv_eng,B,1.0,45,37.94164456233422
solv_eng,C,3.0,28,34.13842482100239
solv_eng,D,2.0,30,55.136563876651984
solv_eng,E,14.0,17,65.65770491803279
