,Run Label,Champion,Coverage,Speedup
polar,A,13.0,22,3.388999830766627
polar,B,1.0,33,4.0567214974475325
polar,C,4.0,16,6.30449565545901
polar,D,8.0,17,4.923682140047207
polar,E,2.0,45,2.387695242637415
opt_bg,A,1.0,35,2.8272765777213045
opt_bg,B,1.0,38,3.0220934444042014
opt_bg,C,7.0,14,8.130572472594396
opt_bg,D,1.0,15,10.311843460350154
opt_bg,E,11.0,23,4.403940886699507
solv_eng,A,2.0,29,5.367930091674261
solv_eng,B,3.0,16,6.762663784952046
solv_eng,C,2.0,15,4.796091392441443
solv_eng,D,6.0,16,4.004799616030717
solv_eng,E,5.0,21,3.683749678083956
