,Run Label,Champion,Coverage,Speedup
polar,A,1.0,75,53.716738197424895
polar,B,1.0,68,62.54091193004372
polar,C,1.0,85,55.875
polar,D,1.0,54,54.5359477124183
polar,E,1.0,64,74.00443458980044
opt_bg,A,1.0,13,64.06142034548944
opt_bg,B,1.0,28,51.61237113402062
opt_bg,C,1.0,11,82.7504132231405
opt_bg,D,9.0,1,81.80392156862744
opt_bg,E,4.0,11,120.7816646562123
solv_eng,A,10.0,15,99.23488602576809
solv_eng,B,1.0,21,79.02762430939227
solv_eng,C,1.0,28,78.84094488188977
solv_eng,D,2.0,20,98.64827586206897
solv_eng,E,16.0,15,75.45440844009043
